,game,model,experiment,episode,metric,value
14,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Generated Expression Length,
15,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Generated Expression Number of Tokens,
16,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Request Count,1.0
17,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Parsed Request Count,0.0
18,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Violated Request Count,1.0
19,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Aborted,1.0
20,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Success,
21,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Lose,
22,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Main Score,
23,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_28,Request Success Ratio,0.0
24,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Generated Expression Length,46.0
25,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Generated Expression Number of Tokens,6.0
26,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Aborted at Player 1,0.0
27,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Aborted at Player 2,0.0
28,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Request Count,2.0
29,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Parsed Request Count,2.0
30,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Violated Request Count,0.0
31,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Aborted,0.0
32,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Success,0.0
33,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Lose,1.0
34,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Main Score,0.0
35,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_2,Request Success Ratio,1.0
36,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Aborted at Player 1,1.0
37,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Aborted at Player 2,0.0
38,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Generated Expression Length,
39,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Generated Expression Number of Tokens,
40,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Request Count,1.0
41,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Parsed Request Count,0.0
42,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Violated Request Count,1.0
43,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Aborted,1.0
44,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Success,
45,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Lose,
46,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Main Score,
47,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_22,Request Success Ratio,0.0
48,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Generated Expression Length,47.0
49,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Generated Expression Number of Tokens,7.0
50,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Aborted at Player 1,0.0
51,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Aborted at Player 2,0.0
52,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Request Count,2.0
53,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Parsed Request Count,2.0
54,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Violated Request Count,0.0
55,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Aborted,0.0
56,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Success,0.0
57,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Lose,1.0
58,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Main Score,0.0
59,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_14,Request Success Ratio,1.0
60,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Aborted at Player 1,1.0
61,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Aborted at Player 2,0.0
62,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Generated Expression Length,
63,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Generated Expression Number of Tokens,
64,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Request Count,1.0
65,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Parsed Request Count,0.0
66,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Violated Request Count,1.0
67,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Aborted,1.0
68,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Success,
69,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Lose,
70,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Main Score,
71,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_16,Request Success Ratio,0.0
72,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Aborted at Player 1,1.0
73,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Aborted at Player 2,0.0
74,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Generated Expression Length,
75,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Generated Expression Number of Tokens,
76,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Request Count,1.0
77,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Parsed Request Count,0.0
78,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Violated Request Count,1.0
79,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Aborted,1.0
80,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Success,
81,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Lose,
82,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Main Score,
83,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_7,Request Success Ratio,0.0
84,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Generated Expression Length,48.0
85,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Generated Expression Number of Tokens,11.0
86,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Aborted at Player 1,0.0
87,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Aborted at Player 2,1.0
88,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Request Count,2.0
89,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Parsed Request Count,1.0
90,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Violated Request Count,1.0
91,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Aborted,1.0
92,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Success,
93,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Lose,
94,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Main Score,
95,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_10,Request Success Ratio,0.5
96,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Generated Expression Length,49.0
97,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Generated Expression Number of Tokens,6.0
98,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Aborted at Player 1,0.0
99,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Aborted at Player 2,0.0
100,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Request Count,2.0
101,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Parsed Request Count,2.0
102,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Violated Request Count,0.0
103,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Aborted,0.0
104,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Success,0.0
105,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Lose,1.0
106,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Main Score,0.0
107,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_21,Request Success Ratio,1.0
108,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Aborted at Player 1,1.0
109,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Aborted at Player 2,0.0
110,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Generated Expression Length,
111,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Generated Expression Number of Tokens,
112,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Request Count,1.0
113,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Parsed Request Count,0.0
114,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Violated Request Count,1.0
115,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Aborted,1.0
116,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Success,
117,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Lose,
118,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Main Score,
119,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_25,Request Success Ratio,0.0
120,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Generated Expression Length,45.0
121,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Generated Expression Number of Tokens,7.0
122,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Aborted at Player 1,0.0
123,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Aborted at Player 2,0.0
124,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Request Count,2.0
125,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Parsed Request Count,2.0
126,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Violated Request Count,0.0
127,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Aborted,0.0
128,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Success,1.0
129,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Lose,0.0
130,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Main Score,100.0
131,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_19,Request Success Ratio,1.0
132,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Aborted at Player 1,1.0
133,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Aborted at Player 2,0.0
134,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Generated Expression Length,
135,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Generated Expression Number of Tokens,
136,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Request Count,1.0
137,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Parsed Request Count,0.0
138,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Violated Request Count,1.0
139,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Aborted,1.0
140,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Success,
141,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Lose,
142,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Main Score,
143,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_24,Request Success Ratio,0.0
144,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Aborted at Player 1,1.0
145,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Aborted at Player 2,0.0
146,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Generated Expression Length,
147,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Generated Expression Number of Tokens,
148,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Request Count,1.0
149,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Parsed Request Count,0.0
150,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Violated Request Count,1.0
151,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Aborted,1.0
152,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Success,
153,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Lose,
154,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Main Score,
155,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_6,Request Success Ratio,0.0
156,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Generated Expression Length,48.0
157,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Generated Expression Number of Tokens,11.0
158,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Aborted at Player 1,0.0
159,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Aborted at Player 2,1.0
160,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Request Count,2.0
161,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Parsed Request Count,1.0
162,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Violated Request Count,1.0
163,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Aborted,1.0
164,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Success,
165,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Lose,
166,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Main Score,
167,referencegame,Mixtral-8x22B-Instruct-v0.1-t0.0--Mixtral-8x22B-Instruct-v0.1-t0.0,3_letter_grids,episode_15,Request Success Ratio,0.5
